Source,Target,Type,Category,Kind,Sub-kind,Text ID,Time-slot,Language,Material,Relation to archive
PER_53862_73544_73598,PER_18712,Undirected,Social,Close kin,Child-Parent,TM_121,115-88 BCE,Greek,Papyrus,Certain
PER_18713,PER_18714,Undirected,Social,Close kin,Child-Parent,TM_121,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_18712,Undirected,Social,Close kin,Child-Parent,TM_122,115-88 BCE,Greek,Papyrus,Certain
PER_19146,PER_19147,Undirected,Social,Close kin,Child-Parent,TM_122,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_18712,Undirected,Social,Close kin,Child-Parent,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_15041,PER_19148,Undirected,Social,Close kin,Child-Parent,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_70_242438_351541,Undirected,Social,Colleague,Scribe,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_7769,PER_338888,Undirected,Social,Close kin,Child-Parent,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_8170_78233_160275_242017,PER_398_00398_73649_75696_160705,Undirected,Social,Close kin,Child-Parent,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_19150,PER_19151,Undirected,Social,Close kin,Child-Parent,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_8170_78233_160275_242017,PER_19150,Undirected,Social,Colleague,Military,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_19152,PER_359_11831_73600,Undirected,Social,Neighbour,Abutting property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_19152,PER_367,Undirected,Social,Neighbour,Abutting property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_19152,PER_377,Undirected,Social,Neighbour,Abutting property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_359_11831_73600,PER_367,Undirected,Social,Neighbour,Abutting property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_359_11831_73600,PER_377,Undirected,Social,Neighbour,Abutting property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_367,PER_359_11831_73600,Undirected,Social,Neighbour,Adjacent property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_377,PER_359_11831_73600,Undirected,Social,Neighbour,Adjacent property,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_19152,PER_19153,Undirected,Social,Close kin,Child-Parent,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_359_11831_73600,PER_8170_78233_160275_242017,Undirected,Social,Close kin,Child-Parent,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_367,PER_368,Undirected,Social,Close kin,Child-Parent,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_377,PER_376,Undirected,Social,Close kin,Child-Parent,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_18712,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_19157,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19156,PER_19157,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_19156,Undirected,Social,Close kin,Sibling,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19299,PER_19300,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_118_12385,PER_327,Undirected,Social,Close kin,Sibling,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_350,PER_351,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_348,PER_349,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_343,PER_344,Undirected,Social,Close kin,Child-Parent,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_327,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_350,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_348,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_343,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_118_12385,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19156,PER_327,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19156,PER_350,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19156,PER_348,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19156,PER_343,Undirected,Social,Neighbour,Abutting property,TM_126,115-88 BCE,Greek,Papyrus,Certain
