Id,Lable,Name,Sex
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_18713,PER_18713,Taesis,Female
PER_18714,PER_18714,Harsiesis,Male
PER_18713,PER_18713,Taesis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18713,PER_18713,Taesis,Female
PER_18713,PER_18713,Taesis,Female
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_19146,PER_19146,Patseous,Male
PER_19147,PER_19147,Sales,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_19146,PER_19146,Patseous,Male
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_19146,PER_19146,Patseous,Male
PER_19147,PER_19147,Sales,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_15041,PER_15041,Psenthotes,Male
PER_19148,PER_19148,Alykis,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_338817,PER_338817,Pelaias,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_15041,PER_15041,Psenthotes,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_15041,PER_15041,Psenthotes,Male
PER_19148,PER_19148,Alykis,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_7769,PER_7769,Herianoupis,Male
PER_338888,PER_338888,Psenminis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_19150,PER_19150,Patseous,Male
PER_19151,PER_19151,Orseus,Male
PER_7769,PER_7769,Herianoupis,Male
PER_7769,PER_7769,Herianoupis,Male
PER_19152,PER_19152,Peteesis,Male
PER_19153,PER_19153,Pates,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_400,PER_400,Hermias,Male
PER_19152,PER_19152,Peteesis,Male
PER_19153,PER_19153,Pates,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_367,PER_367,Taenoutis,Female
PER_368,PER_368,Psenpoeris,Male
PER_377,PER_377,Totoes,Male
PER_376,PER_376,Panechotes,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_19152,PER_19152,Peteesis,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_400,PER_400,Hermias,Male
PER_19156,PER_19156,Tanemieus,Female
PER_19298,PER_19298,Sales,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_19298,PER_19298,Sales,Male
PER_19157,PER_19157,Patseous,Male
PER_19156,PER_19156,Tanemieus,Female
PER_19157,PER_19157,Patseous,Male
PER_19299,PER_19299,Pamenis,Male
PER_19300,PER_19300,Psenesis,Male
PER_327,PER_327,Nechoutes,Male
PER_350,PER_350,Patous,Male
PER_351,PER_351,Herieus,Male
PER_348,PER_348,Pates,Male
PER_349,PER_349,Pelaias,Male
PER_343,PER_343,Paous,Male
PER_344,PER_344,Pelaias,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_19298,PER_19298,Sales,Male
PER_19156,PER_19156,Tanemieus,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_118_12385,PER_118_12385,Petosiris,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_334,PER_334,Orseus,Male
PER_335,PER_335,Horos,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_334,PER_334,Orseus,Male
PER_160276,PER_160276,Petesouchos,Male
PER_161713,PER_161713,Nechtanoupis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_160276,PER_160276,Petesouchos,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_123_292979,PER_123_292979,Paniskos,Male
PER_121,PER_121,Paniskos,Male
PER_122,PER_122,Apollonios,Male
PER_160276,PER_160276,Petesouchos,Male
PER_161713,PER_161713,Nechtanoupis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_123_292979,PER_123_292979,Paniskos,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_19302_242253_242250,PER_19302_242253_242250,Panebchounis,Male
PER_19303_242251,PER_19303_242251,Paous,Male
PER_354,PER_354,Patous,Male
PER_355,PER_355,Psenmonthes,Male
PER_242252,PER_242252,Pamounis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_19302_242253_242250,PER_19302_242253_242250,Panebchounis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_275,PER_275,Pankrates,Male
PER_276,PER_276,Apollonios,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_19302_242253_242250,PER_19302_242253_242250,Panebchounis,Male
PER_19303_242251,PER_19303_242251,Paous,Male
PER_275,PER_275,Pankrates,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_61,PER_61,Sosos,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_19319_57952_72266_328763,PER_19319_57952_72266_328763,Harsiesis,Male
PER_380,PER_380,Phatres,Male
PER_379_19628,PER_379_19628,Chesthotes,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_314,PER_314,Kalibis,Female
PER_322,PER_322,Kethis,Male
PER_9180_11647_242446,PER_9180_11647_242446,Thrason alias Patous,Male
PER_41_19094_79378_79421_242439_351544,PER_41_19094_79378_79421_242439_351544,Hermophilos alias Phibis,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
